pair,species,origin,age,replicate,phenolics,toughness,thickness,leafN
5,ehst,invasive,mature,2,2.396646667,161.6666667,0.003083333,0.859783967
5,ehst,invasive,mature,3,2.457061667,213.3333333,0.0035,0.633253205
5,ehst,invasive,mature,4,,146.6666667,0.004666667,0.514336115
5,ehst,invasive,mature,5,,138.3333333,0.005416667,0.718495562
5,ehst,invasive,young,1,2.440988,50,0.002583333,2.689690411
5,ehst,invasive,young,2,2.517476667,53.33333333,0.002583333,
5,ehst,invasive,young,3,,80,0.00375,
5,ehst,invasive,young,4,,68.33333333,0.003333333,
5,ehst,invasive,young,5,,105,0.003333333,
14,ersa,native,mature,1,5.538226667,,,3.47483237
14,ersa,native,mature,2,4.813246667,,,2.069017729
14,ersa,native,mature,3,4.571586667,,,3.033830904
14,ersa,native,mature,4,,,,2.180821429
14,ersa,native,mature,5,,,,
14,ersa,native,young,1,4.329926667,93.33333333,0.014333333,2.383855049
14,ersa,native,young,2,4.873661667,38.33333333,0.013111111,2.230801728
14,ersa,native,young,3,4.692416667,68.33333333,0.015,2.099051241
14,ersa,native,young,4,,63.33333333,0.014333333,
14,ersa,native,young,5,,66.66666667,0.015888889,
12,erva,native,mature,1,2.577891667,416.6666667,0.012555556,1.117708333
12,erva,native,mature,2,2.698721667,415,0.010666667,1.125166667
12,erva,native,mature,3,3.000796667,415,0.011777778,0.77625
12,erva,native,mature,4,,415,0.010777778,0.8113
12,erva,native,mature,5,,415,0.012,1.028908333
12,erva,native,young,1,2.819551667,450,0.010333333,0.997449141
12,erva,native,young,2,2.940381667,435,0.010111111,1.010180801
12,erva,native,young,3,2.698721667,428.3333333,0.011,1.108469213
12,erva,native,young,4,,420,0.011,
12,erva,native,young,5,,420,0.010666667,
17,heco,native,mature,1,4.934076667,405,0.005777778,0.655521657
17,heco,native,mature,2,5.477811667,428.3333333,0.006777778,0.758731975
17,heco,native,mature,3,4.329926667,430,0.008555556,0.886320169
17,heco,native,mature,4,,430,0.008222222,0.800879921
17,heco,native,mature,5,,430,0.007444444,0.817026694
17,heco,native,young,1,5.477811667,323.3333333,0.006,0.95202258
17,heco,native,young,2,4.148681667,373.3333333,0.007333333,0.915610033
17,heco,native,young,3,3.725776667,355,0.007555556,1.020366129
17,heco,native,young,4,,393.3333333,0.005777778,
17,heco,native,young,5,,360,0.006555556,
6,hola,invasive,mature,1,4.390341667,146.6666667,0.007833333,1.014363636
6,hola,invasive,mature,2,5.115321667,111.6666667,0.00825,1.166590278
6,hola,invasive,mature,3,4.692416667,80,0.008333333,1.183109375
6,hola,invasive,mature,4,,63.33333333,0.00825,1.29375
6,hola,invasive,mature,5,,70,0.006416667,0.806744872
6,hola,invasive,young,1,4.632001667,70,0.005833333,1.771560641
6,hola,invasive,young,2,4.873661667,121.6666667,0.007166667,1.517311408
6,hola,invasive,young,3,4.994491667,63.33333333,0.00625,1.989601912
6,hola,invasive,young,4,,87.5,0.007083333,
6,hola,invasive,young,5,,61.66666667,0.00625,
7,hyra,invasive,mature,1,7.048601667,55,0.010833333,0.95462572
7,hyra,invasive,mature,2,6.686111667,46.66666667,0.009166667,0.925430818
7,hyra,invasive,mature,3,6.021546667,106.6666667,0.010166667,0.824616462
7,hyra,invasive,mature,4,,68.33333333,0.01,1.412522659
7,hyra,invasive,mature,5,,98.33333333,0.009916667,
7,hyra,invasive,young,1,3.786191667,55,0.007916667,2.956393217
7,hyra,invasive,young,2,6.021546667,51.66666667,0.007916667,2.375880465
7,hyra,invasive,young,3,,58.33333333,0.008083333,
7,hyra,invasive,young,4,,56.66666667,0.005583333,
7,hyra,invasive,young,5,,66.66666667,0.007083333,
5,isdi,native,mature,1,3.242456667,300,0.006875,0.688302222
5,isdi,native,mature,2,3.182041667,250,0.00725,0.684521452
5,isdi,native,mature,3,3.242456667,311.6666667,0.00725,0.651838785
5,isdi,native,mature,4,,290,0.007833333,0.582425844
5,isdi,native,mature,5,,270,0.007916667,0.776702413
5,isdi,native,young,1,3.725776667,250,0.005,1.121542235
5,isdi,native,young,2,3.665361667,245,0.007375,0.975702909
5,isdi,native,young,3,3.665361667,430,0.0065,0.983725604
5,isdi,native,young,4,3.665361667,337.5,0.008,
5,isdi,native,young,5,,292.5,0.006875,
8,lele,invasive,mature,1,9.042296667,16.66666667,0.009333333,3.521006135
8,lele,invasive,mature,2,8.740221667,23.33333333,0.011166667,3.872292553
8,lele,invasive,mature,3,6.927771667,11.66666667,0.010333333,2.954409774
8,lele,invasive,mature,4,,16.66666667,0.011166667,3.78096463
8,lele,invasive,mature,5,,5,0.010333333,2.927628866
8,lele,invasive,young,1,13.15051667,,,6.558988296
8,lele,invasive,young,2,15.68794667,,,6.179438313
8,lele,invasive,young,3,12.48595167,,,7.438265553
8,lele,invasive,young,4,,,,
8,lele,invasive,young,5,,,,
15,mepo,native,mature,1,14.47964667,256.6666667,0.016916667,1.650754773
15,mepo,native,mature,2,15.38587167,285,0.01725,1.63729015
15,mepo,native,mature,3,17.25873667,273.3333333,0.019166667,1.566941176
15,mepo,native,mature,4,,305,0.019583333,1.671981941
15,mepo,native,mature,5,,265,0.02025,
15,mepo,native,young,1,16.71500167,200,0.017833333,0.683260713
15,mepo,native,young,2,17.56081167,136.6666667,0.015333333,0.688819005
15,mepo,native,young,3,19.13160167,180,0.018,0.732936181
15,mepo,native,young,4,,213.3333333,0.018666667,
15,mepo,native,young,5,,131.6666667,0.017833333,
9,neco,native,mature,1,3.302871667,46.66666667,0.008666667,0.831355932
9,neco,native,mature,2,3.484116667,50,0.01125,0.471465077
9,neco,native,mature,3,3.484116667,95,0.007916667,0.623546512
9,neco,native,mature,4,,91.66666667,0.010083333,1.138342898
